Defline,Subtype,US Clade,Global Clade
>A/swine/Ilinois/A02090378/2015|07/28/2015|Unknown|6|NA,N2,2002B,2002B
>A/swine/Illinois/0TM102/2017|02/13/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/0TM103/2017|02/13/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/0TM105/2017|02/13/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/0TM110/2017|02/13/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/0TM119/2017|02/13/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/16TOSU7080/2016|06/30/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/16TOSU7082/2016|06/01/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/16TOSU7168/2016|06/01/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5389/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5464/2017|07/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5489/2017|07/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5723/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5867/2017|07/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5872/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5874/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5893/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5908/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/17TOSU5917/2017|06/01/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/18TOSU1356/2018|06/01/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/18TOSU1411/2018|06/01/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/18TOSU1433/2018|06/01/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A00843193/2014|01/03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A00843206/2014|08/08/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A00843253/2015|06/12/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A00857129/2011|09/14/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857131/2011|09/24/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857134/2011|10/04/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857138a/2011|10/20/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857138b/2011|10/20/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857300/2011|11/28/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857304a/2012|01/05/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857304b/2012|01/05/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A00857318a/2012|02/23/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01076719/2010|11/01/2010|Illinois|6|NA,N2,2002,2002
>A/swine/Illinois/A01104098/2016|07/25/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01202978/2011|12/16/2011|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01203672/2012|07/21/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01203812/2012|09/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01240835/2012|01/03/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01240836/2012|01/03/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01240891/2012|01/05/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01240908/2012|01/03/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241469/2012|02/08/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241840/2012|02/27/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241842/2012|02/27/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241871/2012|02/29/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241876/2012|02/29/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01241916/2012|03/01/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01290508/2013|10/2013|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01327184/2012|03/15/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01327629/2012|04/15/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01327903/2012|05/08/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01327905/2012|05/08/2012|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01392224/2013|09/25/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01394861/2013|10/02/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01394862/2013|10/02/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01398587/2013|08/07/2013|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01409611/2013|12/14/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409639/2013|12/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409657/2013|12/18/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409675/2013|12/20/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409717/2013|12/26/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409735/2013|12/30/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01409994/2014|02/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01410110/2014|01/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01410268/2014|02/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01410409/2014|03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01410453/2014|03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01410786/2014|05/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01411097/2014|01/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01411232/2013|12/18/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01411463/2014|02/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01411493/2014|03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01411761/2014|04/2014|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01427136/2013|11/04/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01432127/2012|10/2012|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01432795/2013|06/2013|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01462594/2015|01/23/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01462644/2015|01/29/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01462663/2015|02/02/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475015/2014|02/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475190/2014|03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475266/2014|03/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475273/2014|04/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475279/2014|04/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01475330/2014|04/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01476214/2014|08/06/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01476977/2014|11/13/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01478890/2015|02/19/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01489869/2014|08/27/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01489873/2014|11/06/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01489874/2014|11/11/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01489882/2015|01/27/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01501987/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502005/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502036/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502049/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502053/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502060/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01502079/2014|06/18/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01503899/2014|08/27/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01509186/2014|04/15/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01509203/2014|04/15/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01509209/2014|04/15/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01520758/2014|10/14/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01536079/2014|02/24/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01536186/2014|03/14/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01536474/2014|04/07/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01554902/2015|04/24/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01555050/2014|11/21/2014|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01555570/2015|02/19/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01555638/2015|02/26/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01565507/2014|09/16/2014|Illinois|6|NA,N1,pandemic,pandemic
>A/swine/Illinois/A01644175/2016|10/03/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01668163/2016|11/10/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01668931/2016|11/25/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01671222/2016|12/02/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01727528/2015|12/11/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01727532/2015|12/10/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01727602/2015|12/11/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01728293/2015|12/22/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01728756/2015|12/29/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01729658/2016|01/14/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01732588/2016|02/25/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01749100/2015|10/20/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01749812/2016|02/29/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01770246/2015|08/12/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01770678/2015|08/24/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01782837/2016|10/31/2016|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01795739/2015|11/02/2015|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A01796273/2015|11/11/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01796457/2015|11/19/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01797275/2015|11/02/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01820128/2015|03/20/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01820364/2015|04/14/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01840991/2015|03/11/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01841768/2015|03/26/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01847805/2015|04/24/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01857433/2015|09/14/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01895671/2016|04/18/2016|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01944946/2015|10/29/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A01945691/2015|10/19/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02024070/2015|05/15/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02076874/2015|05/07/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02090639/2015|08/26/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02090984/2015|10/12/2015|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02134235/2017|10/19/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02136719/2017|11/20/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02140801/2018|01/10/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02154869/2018|03/09/2018|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/A02214632/2017|04/14/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02214843/2017|04/14/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02218757/2017|07/25/2017|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02257390/2018|09/08/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02270099/2018|11/20/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02271345/2018|12/06/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02427656/2018|12/10/2018|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02430687/2019|02/21/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02431353/2019|03/14/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02432162/2019|04/10/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478493/2019|05/14/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478510/2019|05/22/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478532/2019|05/30/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478554/2019|06/10/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478564/2019|06/21/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478665/2019|09/03/2019|Illinois|6|NA,N2,1998B,1998B
>A/swine/Illinois/A02478682/2019|09/23/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478828/2019|10/31/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478883/2019|11/14/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478926/2019|11/25/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02478974/2019|12/26/2019|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02479016/2020|01/20/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02479027/2020|01/23/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02479045/2020|02/03/2020|Illinois|6|NA,N2,1998B,1998B
>A/swine/Illinois/A02479065/2020|02/12/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02479170/2020|03/23/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02524405/2020|07/10/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02524485/2020|07/10/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02524521/2020|07/29/2020|Illinois|6|NA,N2,1998B,1998B
>A/swine/Illinois/A02524655/2020|09/22/2020|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/A02525270/2021|03/17/2021|Illinois|6|NA,N2,2002B,2002B
>A/swine/Illinois/B1708DTW21/2017|08/11/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/TM1705DTW24/2017|05/12/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Illinois/TM1707DTW18/2017|07/07/2017|Illinois|6|NA,N2,2002A,2002A
>A/swine/Indiana/13TOSU1026/2013|07/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1035/2013|07/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1042/2013|07/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1050/2013|07/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1122/2013|07/25/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1128/2013|07/25/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1155/2013|07/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1207/2013|07/01/2013|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/13TOSU1217/2013|07/01/2013|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/13TOSU1319/2013|08/01/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU1999/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU4561/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU4563/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU482/2013|06/27/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU490/2013|06/27/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU5095/2013|08/31/2013|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/13TOSU5147/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU5238/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU5669/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU5730/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/13TOSU5869/2013|08/31/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0219/2015|07/16/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0348/2015|07/17/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0495/2015|06/25/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0844/2015|06/25/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0850/2015|06/25/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU0881/2015|07/09/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU1248/2015|07/18/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU8822/2015|07/24/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU8898/2015|07/01/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/15TOSU8903/2015|07/01/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2159/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2233/2016|06/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU2234/2016|06/18/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2879/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2894/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2907/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2922/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2935/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU2990/2016|06/12/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU3009/2016|06/18/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4043/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4055/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4114/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4141/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4158/2016|06/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4171/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4175/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4426/2016|07/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4438/2016|07/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU4521/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4540/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4561/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4574/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4582/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4595/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4621/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4637/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4742/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4759/2016|07/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4841/2016|08/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU4854/2016|08/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU6758/2016|06/24/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU7610/2016|07/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU7618/2016|07/01/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/16TOSU7626/2016|08/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/16TOSU7773/2016|08/01/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/17TOSU1042/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1056/2017|06/01/2017|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/17TOSU1064/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1104/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1106/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1111/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1123/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1135/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1202/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1214/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1347/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1353/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1367/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1375/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1568/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1572/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
