strain,date,state,most similar blast clade
A/swine/Iowa/A02478735/2019,10/9/2019,Iowa,C_IVA
A/swine/Iowa/A01290431/2013,Sep-13,Iowa,C_IV
A/swine/Iowa/A02525092/2021,1/18/2021,Iowa,C_IVA
A/swine/Iowa/A02525046/2021,1/8/2021,Iowa,C_IVA
A/swine/Iowa/A02525019/2020,12/28/2020,Iowa,C_IVA
A/swine/Iowa/A02524696/2020,10/5/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245687/2020,8/12/2020,North_Carolina,C_IVA
A/swine/Iowa/A01076311/2010,9/20/2010,Iowa,C_IV
A/swine/Ohio/A02525155/2021,2/9/2021,Ohio,C_IVA
A/swine/Arizona/A02524632/2020,9/11/2020,Arizona,C_IVA
A/swine/California/A01104142/2020,8/25/2020,California,C_IVA
A/swine/North_Carolina/A02245682/2020,8/4/2020,North_Carolina,C_IVA
A/swine/Indiana/A00968325/2010,12/17/2010,Indiana,C_IV
A/swine/North_Carolina/A02524746/2020,10/19/2020,North_Carolina,C_IVA
A/swine/Iowa/A02525241/2021,3/4/2021,Iowa,C_IVA
A/swine/Minnesota/A02245828/2020,12/11/2020,Minnesota,C_IVA
A/swine/Iowa/A02524750/2020,10/15/2020,Iowa,C_IVA
A/swine/North_Carolina/A02524740/2020,10/14/2020,North_Carolina,C_IVA
A/swine/Missouri/A02524680/2020,9/29/2020,Missouri,C_IVA
A/swine/North_Carolina/A02524478/2020,7/1/2020,North_Carolina,C_IVA
A/swine/Minnesota/2014016871/2014,3/8/2014,Minnesota,C_IV
A/swine/Illinois/A01047014/2010,11/22/2010,Illinois,C_IV
A/swine/Missouri/A01411681/2014,Mar-14,Missouri,C_IV
A/swine/Pennsylvania/A02525244/2021,3/4/2021,Pennsylvania,C_IVA
A/swine/North_Carolina/A02245817/2020,11/23/2020,North_Carolina,C_IVA
A/swine/Iowa/A02524768/2020,10/21/2020,Iowa,C_IVA
A/swine/Iowa/A02524701/2020,10/6/2020,Iowa,C_IVA
A/swine/Iowa/A02524684/2020,10/1/2020,Iowa,C_IVA
A/swine/Iowa/A02524639/2020,9/16/2020,Iowa,C_IVA
A/swine/Missouri/A02524544/2020,8/14/2020,Missouri,C_IVA
A/swine/Missouri/A02524505/2020,7/27/2020,Missouri,C_IVA
A/swine/Iowa/A02432156/2019,4/8/2019,Iowa,C_IVA
A/swine/Iowa/A01778607/2016,8/17/2016,Iowa,C_IVA
A/swine/Illinois/A01411669/2014,Mar-14,Illinois,C_IV
A/swine/North_Carolina/A02525302/2021,3/25/2021,North_Carolina,C_IVA
A/swine/Iowa/A02525290/2021,3/23/2021,Iowa,C_IVA
A/swine/Iowa/A02245769/2020,10/22/2020,Iowa,C_IVA
A/swine/Iowa/A02524770/2020,10/20/2020,Iowa,C_IVA
A/swine/Minnesota/A02245736/2020,10/8/2020,Minnesota,C_IVA
A/swine/Iowa/A02524689/2020,10/1/2020,Iowa,C_IVA
A/swine/Indiana/A01812306/2020,5/19/2020,Indiana,C_IVA
A/swine/Iowa/A02478937/2019,12/4/2019,Iowa,C_IVA
A/swine/Iowa/A02478854/2019,11/6/2019,Iowa,C_IVA
A/swine/Indiana/A01812290/2019,4/1/2019,Indiana,2010-human_like
A/swine/Kansas/A01785786/2018,12/10/2018,Kansas,C_IVA
A/swine/Nebraska/A02254794/2018,7/30/2018,Nebraska,C_IVA
A/swine/Iowa/A01290680/2013,Oct-13,Iowa,C_IV
A/swine/Illinois/A02525270/2021,3/17/2021,Illinois,C_IVA
A/swine/Indiana/A02525012/2020,12/23/2020,Indiana,C_IVA
A/swine/Iowa/A02524764/2020,10/20/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245746/2020,10/14/2020,North_Carolina,C_IVA
A/swine/North_Carolina/A02524744/2020,10/12/2020,North_Carolina,C_IVA
A/swine/North_Carolina/A02524576/2020,8/28/2020,North_Carolina,C_IVA
A/swine/Iowa/A02479429/2020,6/3/2020,Iowa,C_IVA
A/swine/Michigan/A02479299/2020,5/1/2020,Michigan,C_IVA
A/swine/Oklahoma/A022455605/2020,4/29/2020,Oklahoma,C_IVA
A/swine/North_Carolina/A02479083/2020,2/20/2020,North_Carolina,C_IVA
A/swine/Iowa/A02479050/2020,2/6/2020,Iowa,C_IVA
A/swine/Nebraska/A02430692/2019,2/19/2019,Nebraska,C_IVA
A/swine/Minnesota/A01201437/2011,5/12/2011,Minnesota,C_IV
A/swine/Illinois/A01047009/2010,11/22/2010,Illinois,C_IV
A/swine/Iowa/A02525184/2021,2/15/2021,Iowa,C_IVA
A/swine/Missouri/A02525138/2021,2/1/2021,Missouri,C_IVA
A/swine/Missouri/A02525068/2021,1/7/2021,Missouri,C_IVA
A/swine/Minnesota/A02245812/2020,11/19/2020,Minnesota,C_IVA
A/swine/Iowa/A02524889/2020,11/10/2020,Iowa,C_IVA
A/swine/Iowa/A02245753/2020,10/19/2020,Iowa,C_IVA
A/swine/Pennsylvania/A02524504/2020,7/24/2020,Pennsylvania,C_IVA
A/swine/Iowa/A02479339/2020,5/11/2020,Iowa,C_IVA
A/swine/Minnesota/A02245604/2020,4/27/2020,Minnesota,C_IVA
A/swine/Minnesota/A02245603/2020,4/27/2020,Minnesota,C_IVA
A/swine/Iowa/A02245581/2020,4/6/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245530/2020,3/11/2020,North_Carolina,C_IVA
A/swine/California/A01104141/2020,2/12/2020,California,C_IVA
A/swine/Minnesota/A02245096/2019,3/28/2019,Minnesota,C_IVA
A/swine/Colorado/A01775092/2016,5/11/2016,Colorado,C_IVA
A/swine/Indiana/A01049349/2010,12/29/2010,Indiana,C_IV
A/swine/South_Carolina/A02525279/2021,3/26/2021,South_Carolina,C_IVA
A/swine/Pennsylvania/A02525204/2021,2/23/2021,Pennsylvania,C_IVA
A/swine/Iowa/A02525020/2020,12/27/2020,Iowa,C_IVA
A/swine/North_Carolina/A02524967/2020,12/7/2020,North_Carolina,C_IVA
A/swine/Pennsylvania/A02524956/2020,12/2/2020,Pennsylvania,C_IVA
A/swine/Minnesota/A02524741/2020,10/15/2020,Minnesota,C_IVA
A/swine/Pennsylvania/A02524606/2020,9/3/2020,Pennsylvania,C_IVA
A/swine/Iowa/A02524447/2020,6/26/2020,Iowa,C_IVA
A/swine/Missouri/A02524456/2020,6/22/2020,Missouri,C_IVA
A/swine/Pennsylvania/A02524416/2020,6/11/2020,Pennsylvania,C_IVA
A/swine/Iowa/A02479423/2020,6/1/2020,Iowa,C_IVA
A/swine/Iowa/A02479234/2020,4/15/2020,Iowa,C_IVA
A/swine/Minnesota/A02245584/2020,4/7/2020,Minnesota,C_IVA
A/swine/Iowa/A02479126/2020,3/5/2020,Iowa,C_IVA
A/swine/Oklahoma/A02478845/2019,10/31/2019,Oklahoma,C_IVA
A/swine/Illinois/A02427656/2018,12/10/2018,Illinois,C_IVA
A/swine/Kansas/2014_102/2014,10/10/2014,Kansas,C_IVB
A/swine/Indiana/A02525269/2021,3/17/2021,Indiana,C_IVA
A/swine/Indiana/A02525243/2021,3/4/2021,Indiana,C_IVA
A/swine/North_Carolina/A02525172/2021,2/16/2021,North_Carolina,C_IVA
A/swine/North_Carolina/A02245825/2020,12/8/2020,North_Carolina,C_IVA
A/swine/North_Carolina/A02524944/2020,12/7/2020,North_Carolina,C_IVA
A/swine/North_Carolina/A02245786/2020,11/17/2020,North_Carolina,C_IVA
A/swine/Minnesota/A02524760/2020,10/17/2020,Minnesota,C_IVA
A/swine/Minnesota/A02524704/2020,10/6/2020,Minnesota,C_IVA
A/swine/Iowa/A02524561/2020,8/21/2020,Iowa,C_IVA
A/swine/Iowa/A02524494/2020,7/13/2020,Iowa,C_IVA
A/swine/Minnesota/A02245661/2020,5/27/2020,Minnesota,C_IVA
A/swine/Pennsylvania/A02479128/2020,3/12/2020,Pennsylvania,C_IVA
A/swine/North_Carolina/A02479052/2020,2/6/2020,North_Carolina,C_IVA
A/swine/Minnesota/A02478920/2019,11/25/2019,Minnesota,C_IVA
A/swine/Kansas/A01785751/2018,11/13/2018,Kansas,C_IVB
A/swine/Missouri/A02525202/2021,2/23/2021,Missouri,C_IVA
A/swine/Indiana/A02525078/2021,1/5/2021,Indiana,C_IVA
A/swine/Iowa/A02524952/2020,12/2/2020,Iowa,C_IVA
A/swine/Iowa/A02524937/2020,12/1/2020,Iowa,C_IVA
A/swine/Indiana/A02524839/2020,11/3/2020,Indiana,C_IVA
A/swine/North_Carolina/A02524585/2020,9/3/2020,North_Carolina,C_IVA
A/swine/Minnesota/A02245709/2020,9/3/2020,Minnesota,C_IVA
A/swine/Iowa/A02524434/2020,6/17/2020,Iowa,C_IVA
A/swine/Iowa/A02479421/2020,6/6/2020,Iowa,C_IVA
A/swine/Minnesota/A02245660/2020,5/26/2020,Minnesota,C_IVA
A/swine/Iowa/A02479259/2020,4/17/2020,Iowa,C_IVA
A/swine/Iowa/A02479228/2020,4/16/2020,Iowa,C_IVA
A/swine/Iowa/A02479185/2020,3/27/2020,Iowa,C_IVA
A/swine/Pennsylvania/A02479139/2020,3/19/2020,Pennsylvania,C_IVA
A/swine/Iowa/A02245386/2020,1/9/2020,Iowa,C_IVA
A/swine/Iowa/A02478855/2019,11/6/2019,Iowa,C_IVA
A/swine/Iowa/A02478795/2019,10/22/2019,Iowa,C_IVA
A/swine/Iowa/A02478700/2019,9/24/2019,Iowa,C_IVA
A/swine/Illinois/A02478682/2019,9/23/2019,Illinois,C_IVA
A/swine/Iowa/A02478536/2019,6/3/2019,Iowa,C_IVA
A/swine/South_Dakota/A01785988/2019,2/21/2019,South_Dakota,C_IVA
A/swine/South_Dakota/A01785987/2019,2/21/2019,South_Dakota,C_IVA
A/swine/Iowa/A02257962/2018,10/3/2018,Iowa,C_IVA
A/swine/Iowa/A02254975/2018,8/10/2018,Iowa,C_IVA
A/swine/Michigan/A02254615/2018,7/25/2018,Michigan,C_IVB
A/swine/South_Dakota/A01777894/2016,7/21/2016,South_Dakota,C_IVA
A/swine/Iowa/A01476008/2014,6/24/2014,Iowa,C_IV
A/swine/Illinois/A01201770/2011,6/19/2011,Illinois,C_IV
A/swine/Iowa/A01202089/2011,6/16/2011,Iowa,C_IV
A/swine/Minnesota/A01076531/2010,10/7/2010,Minnesota,C_IV
A/swine/Pennsylvania/A02525116/2021,1/26/2021,Pennsylvania,C_IVA
A/swine/Indiana/A02525066/2021,1/14/2021,Indiana,C_IVA
A/swine/Iowa/A02525063/2021,1/13/2021,Iowa,C_IVA
A/swine/Pennsylvania/A02525008/2020,12/18/2020,Pennsylvania,C_IVA
A/swine/North_Carolina/A02524916/2020,11/18/2020,North_Carolina,C_IVA
A/swine/Ohio/A02524829/2020,10/29/2020,Ohio,C_IVA
A/swine/Iowa/A02524815/2020,10/28/2020,Iowa,C_IVA
A/swine/Indiana/A02524738/2020,10/14/2020,Indiana,C_IVA
A/swine/Iowa/A02524686/2020,10/2/2020,Iowa,C_IVA
A/swine/Iowa/A02524660/2020,9/24/2020,Iowa,C_IVA
A/swine/Indiana/A01812311/2020,8/31/2020,Indiana,C_IVA
A/swine/North_Carolina/A02245701/2020,8/25/2020,North_Carolina,C_IVA
A/swine/Illinois/A02524405/2020,7/10/2020,Illinois,C_IVA
A/swine/Illinois/A02524485/2020,7/10/2020,Illinois,C_IVA
A/swine/Ohio/A02479354/2020,5/19/2020,Ohio,C_IVA
A/swine/North_Carolina/A02479327/2020,5/14/2020,North_Carolina,C_IVA
A/swine/Iowa/A02479300/2020,5/1/2020,Iowa,C_IVA
A/swine/Iowa/A02479225/2020,4/15/2020,Iowa,C_IVA
A/swine/Indiana/A02479085/2020,2/26/2020,Indiana,C_IVA
A/swine/Iowa/A02479026/2020,1/22/2020,Iowa,C_IVA
A/swine/Iowa/A02478982/2020,1/8/2020,Iowa,C_IVA
A/swine/Minnesota/A02245357/2019,12/12/2019,Minnesota,C_IVA
A/swine/Indiana/A02478890/2019,11/19/2019,Indiana,C_IVA
A/swine/North_Carolina/A02478666/2019,9/12/2019,North_Carolina,C_IVA
A/swine/Nebraska/A02257337/2018,9/14/2018,Nebraska,C_IVA
A/swine/Minnesota/A01785322/2017,10/18/2017,Minnesota,C_IVA
A/swine/Iowa/A01202088/2011,6/16/2011,Iowa,C_IV
A/swine/Iowa/A01049032/2010,11/16/2010,Iowa,C_IV
A/swine/Iowa/A01076507/2010,10/4/2010,Iowa,C_IV
A/swine/Nebraska/A01785535/2018,5/8/2018,Nebraska,C_IVB
A/swine/Iowa/A02525306/2021,3/26/2021,Iowa,2010-human_like
A/swine/Minnesota/A02525121/2021,1/28/2021,Minnesota,C_IVA
A/swine/Iowa/A02524943/2020,12/2/2020,Iowa,2010-human_like
A/swine/Iowa/A02524795/2020,10/26/2020,Iowa,C_IVA
A/swine/Iowa/A02524732/2020,10/13/2020,Iowa,C_IVA
A/swine/Iowa/A02524591/2020,8/31/2020,Iowa,C_IVA
A/swine/Indiana/A02524539/2020,8/7/2020,Indiana,C_IVA
A/swine/Iowa/A02524435/2020,6/18/2020,Iowa,C_IVA
A/swine/Iowa/A02524423/2020,6/8/2020,Iowa,C_IVA
A/swine/Indiana/A02479381/2020,5/28/2020,Indiana,C_IVA
A/swine/Minnesota/A02245643/2020,5/13/2020,Minnesota,C_IVA
A/swine/Iowa/A02479304/2020,5/4/2020,Iowa,C_IVA
A/swine/Ohio/A02479280/2020,4/24/2020,Ohio,C_IVA
A/swine/Ohio/A02479264/2020,4/19/2020,Ohio,C_IVA
A/swine/Ohio/A02479175/2020,3/24/2020,Ohio,C_IVA
A/swine/Pennsylvania/A02479125/2020,3/11/2020,Pennsylvania,C_IVA
A/swine/Iowa/A02479140/2020,3/11/2020,Iowa,C_IVA
A/swine/Indiana/A01812303/2020,1/30/2020,Indiana,C_IVA
A/swine/Indiana/A02479020/2020,1/22/2020,Indiana,C_IVA
A/swine/Indiana/A02479023/2020,1/21/2020,Indiana,C_IVA
A/swine/Indiana/A02478983/2020,1/9/2020,Indiana,C_IVA
A/swine/Indiana/A02478996/2020,1/9/2020,Indiana,C_IVA
A/swine/Indiana/A01812297/2019,10/24/2019,Indiana,C_IVA
A/swine/Iowa/A02478793/2019,10/23/2019,Iowa,C_IVA
A/swine/North_Carolina/A02245252/2019,9/19/2019,North_Carolina,C_IVA
A/swine/Iowa/A02478617/2019,8/19/2019,Iowa,C_IVA
A/swine/Iowa/A02478604/2019,8/1/2019,Iowa,C_IVA
A/swine/Iowa/A02478578/2019,7/10/2019,Iowa,C_IVA
A/swine/Iowa/A02478542/2019,6/14/2019,Iowa,C_IVA
A/swine/Iowa/A02478553/2019,6/7/2019,Iowa,C_IVA
A/swine/Ohio/OH18_09970.4/2018,4/29/2018,Ohio,C_IVA
A/swine/North_Carolina/SG1364/2010,11/24/2010,North_Carolina,C_IV
A/swine/Iowa/A01049031/2010,11/16/2010,Iowa,C_IV
A/swine/Iowa/A01049033/2010,11/16/2010,Iowa,C_IV
A/swine/Iowa/A01049020/2010,11/16/2010,Iowa,C_IV
A/swine/Illinois/A01076709/2010,11/1/2010,Illinois,C_IV
A/swine/Illinois/A01076735/2010,11/1/2010,Illinois,C_IV
A/swine/Illinois/A01076730/2010,11/1/2010,Illinois,C_IV
A/swine/Iowa/A01076508/2010,10/4/2010,Iowa,C_IV
A/swine/Indiana/A02478626/2019,8/22/2019,Indiana,C_IVA
A/swine/Nebraska/A02254605/2018,7/19/2018,Nebraska,C_IVB
A/swine/Indiana/A02525139/2021,2/3/2021,Indiana,2016-human_like
A/swine/Minnesota/A02245829/2020,12/11/2020,Minnesota,C_IVA
A/swine/Iowa/A02524962/2020,12/8/2020,Iowa,C_IVA
A/swine/Ohio/A02524859/2020,11/4/2020,Ohio,C_IVA
A/swine/Iowa/A02524818/2020,10/28/2020,Iowa,C_IVA
A/swine/Iowa/A02524801/2020,10/27/2020,Iowa,C_IVA
A/swine/Minnesota/A02245763/2020,10/23/2020,Minnesota,2010-human_like
A/swine/North_Carolina/A02524712/2020,10/8/2020,North_Carolina,C_IVA
A/swine/Iowa/A02524706/2020,10/6/2020,Iowa,C_IVA
A/swine/Ohio/A02524675/2020,9/28/2020,Ohio,C_IVA
A/swine/North_Carolina/A02524603/2020,9/8/2020,North_Carolina,C_IVA
A/swine/North_Carolina/A02524538/2020,8/6/2020,North_Carolina,C_IVA
A/swine/Iowa/A02524509/2020,7/29/2020,Iowa,C_IVA
A/swine/Minnesota/A02524484/2020,7/9/2020,Minnesota,C_IVA
A/swine/Minnesota/A02245670/2020,6/10/2020,Minnesota,C_IVA
A/swine/Indiana/A02524424/2020,6/10/2020,Indiana,C_IVA
A/swine/Iowa/A02479352/2020,5/18/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245567/2020,3/27/2020,North_Carolina,C_IVA
A/swine/Indiana/A02479161/2020,3/24/2020,Indiana,C_IVA
A/swine/Indiana/A02479148/2020,3/18/2020,Indiana,C_IVA
A/swine/Iowa/A02479120/2020,3/6/2020,Iowa,C_IVA
A/swine/Iowa/A02479100/2020,2/25/2020,Iowa,C_IVA
A/swine/Illinois/A02479045/2020,2/3/2020,Illinois,C_IVA
A/swine/Indiana/A02479009/2020,1/24/2020,Indiana,C_IVA
A/swine/Indiana/A02479025/2020,1/21/2020,Indiana,C_IVA
A/swine/Michigan/A02479000/2020,1/16/2020,Michigan,C_IVA
A/swine/Virginia/A01104140/2019,12/27/2019,Virginia,C_IVA
A/swine/Iowa/A02478930/2019,12/3/2019,Iowa,C_IVA
A/swine/Iowa/A02478817/2019,10/29/2019,Iowa,C_IVA
A/swine/Iowa/A02478825/2019,10/29/2019,Iowa,C_IVA
A/swine/Indiana/A02478818/2019,10/28/2019,Indiana,C_IVA
A/swine/North_Carolina/A02245294/2019,10/15/2019,North_Carolina,C_IVA
A/swine/Iowa/A02478782/2019,10/15/2019,Iowa,C_IVA
A/swine/Iowa/A02478759/2019,10/7/2019,Iowa,C_IVA
A/swine/Iowa/A02478758/2019,10/7/2019,Iowa,C_IVA
A/swine/Indiana/A02478733/2019,10/1/2019,Indiana,C_IVA
A/swine/Iowa/A02478600/2019,7/26/2019,Iowa,C_IVA
A/swine/Iowa/A02478584/2019,7/10/2019,Iowa,C_IVA
A/swine/Kansas/A02245011/2019,3/18/2019,Kansas,C_IVA
A/swine/Minnesota/A01668936/2016,11/23/2016,Minnesota,C_IVB
A/swine/Iowa/A01203992/2012,Oct-12,Iowa,C_IV
A/swine/Iowa/A01203771/2012,Aug-12,Iowa,C_IVB
A/swine/Pennsylvania/A01201666/2011,6/14/2011,Pennsylvania,C_IV
A/swine/Iowa/A01047906/2010,12/7/2010,Iowa,C_IV
A/swine/Minnesota/A01076701/2010,10/18/2010,Minnesota,C_IV
A/swine/Illinois/A01076708/2010,11/1/2010,Illinois,C_IV
A/swine/Illinois/A01076724/2010,11/1/2010,Illinois,C_IV
A/swine/North_Carolina/A02245824/2020,12/7/2020,North_Carolina,C_IVA
A/swine/Indiana/A02525280/2021,3/23/2021,Indiana,C_IVA
A/swine/Iowa/A02525111/2021,1/27/2021,Iowa,C_IVA
A/swine/Iowa/A02525076/2021,1/14/2021,Iowa,2010-human_like
A/swine/Iowa/A02524761/2020,10/19/2020,Iowa,C_IVA
A/swine/Illinois/A02524655/2020,9/22/2020,Illinois,C_IVA
A/swine/Indiana/A02479428/2020,6/4/2020,Indiana,C_IVA
A/swine/Iowa/A02479341/2020,5/13/2020,Iowa,C_IVA
A/swine/Iowa/A02479282/2020,4/27/2020,Iowa,C_IVA
A/swine/Michigan/A02479277/2020,4/26/2020,Michigan,C_IVA
A/swine/Missouri/A02479183/2020,3/26/2020,Missouri,C_IVA
A/swine/Illinois/A02479170/2020,3/23/2020,Illinois,C_IVA
A/swine/Iowa/A02479154/2020,3/19/2020,Iowa,C_IVA
A/swine/Minnesota/A02245533/2020,3/18/2020,Minnesota,C_IVA
A/swine/Indiana/A02479123/2020,3/10/2020,Indiana,C_IVA
A/swine/Iowa/A02479053/2020,2/7/2020,Iowa,2010-human_like
A/swine/Iowa/A02479059/2020,2/6/2020,Iowa,C_IVA
A/swine/Iowa/A02479047/2020,2/3/2020,Iowa,C_IVA
A/swine/Indiana/A01812302/2020,1/28/2020,Indiana,C_IVA
A/swine/North_Carolina/A02479010/2020,1/22/2020,North_Carolina,C_IVA
A/swine/Iowa/A02479008/2020,1/21/2020,Iowa,C_IVA
A/swine/Illinois/A02479016/2020,1/20/2020,Illinois,C_IVA
A/swine/Indiana/A01812301/2020,1/17/2020,Indiana,C_IVA
A/swine/Iowa/A02478997/2020,1/13/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245385/2020,1/10/2020,North_Carolina,C_IVA
A/swine/Indiana/A02479029/2019,12/31/2019,Indiana,C_IVA
A/swine/Indiana/A02478978/2019,12/31/2019,Indiana,C_IVA
A/swine/Kansas/A02245371/2019,12/27/2019,Kansas,C_IVA
A/swine/Indiana/A01812299/2019,12/12/2019,Indiana,C_IVA
A/swine/Iowa/A02478955/2019,12/6/2019,Iowa,C_IVA
A/swine/Indiana/A02478925/2019,11/26/2019,Indiana,C_IVA
A/swine/Illinois/A02478926/2019,11/25/2019,Illinois,C_IVA
A/swine/Ohio/A02245339/2019,11/19/2019,Ohio,C_IVA
A/swine/Iowa/A02478861/2019,11/11/2019,Iowa,C_IVA
A/swine/North_Carolina/A02478858/2019,11/11/2019,North_Carolina,C_IVA
A/swine/Indiana/A02478727/2019,10/4/2019,Indiana,C_IVA
A/swine/Kansas/A02245241/2019,9/13/2019,Kansas,C_IVA
A/swine/Iowa/A02478649/2019,9/9/2019,Iowa,C_IVA
A/swine/Iowa/A02478636/2019,8/26/2019,Iowa,C_IVA
A/swine/South_Dakota/A02478607/2019,7/31/2019,South_Dakota,C_IVA
A/swine/Iowa/A02478529/2019,6/5/2019,Iowa,C_IVA
A/swine/Iowa/A02478516/2019,5/20/2019,Iowa,C_IVA
A/swine/Oklahoma/A02431948/2019,4/3/2019,Oklahoma,C_IVA
A/swine/Iowa/A02431613/2019,3/21/2019,Iowa,C_IVA
A/swine/Iowa/A02430278/2019,2/8/2019,Iowa,C_IVA
A/swine/Iowa/A02429953/2019,1/22/2019,Iowa,C_IVA
A/swine/Iowa/A02270002/2018,11/14/2018,Iowa,C_IVA
A/swine/Nebraska/A01678580/2018,8/24/2018,Nebraska,C_IVA
A/swine/Minnesota/A01678556/2018,4/16/2018,Minnesota,C_IVA
A/swine/Iowa/A02134242/2017,10/23/2017,Iowa,C_IVA
A/swine/Nebraska/A02221499/2017,8/28/2017,Nebraska,C_IVA
A/swine/Indiana/15TOSU4046/2015,7/17/2015,Indiana,C_IVB
A/swine/South_Dakota/3/2012,Jun-12,South_Dakota,C_IVB
A/swine/Illinois/A01076865/2010,11/11/2010,Illinois,C_IV
A/swine/Illinois/A01076859/2010,11/11/2010,Illinois,C_IV
A/swine/North_Carolina/A01076199/2010,3/14/2010,North_Carolina,C_IV
A/swine/Missouri/A02136832/2017,11/22/2017,Missouri,C_IVB
A/swine/Nebraska/A01785515/2018,4/19/2018,Nebraska,C_IVB
A/swine/Nebraska/A01785381/2017,12/7/2017,Nebraska,C_IVB
A/swine/Indiana/A02525281/2021,3/25/2021,Indiana,C_IVA
A/swine/Ohio/A02525262/2021,3/15/2021,Ohio,C_IVA
A/swine/Iowa/A02524891/2020,11/11/2020,Iowa,2010-human_like
A/swine/Wyoming/A02524888/2020,11/9/2020,Wyoming,C_IVA
A/swine/Iowa/A02524862/2020,11/4/2020,Iowa,2010-human_like
A/swine/Iowa/A02524828/2020,10/29/2020,Iowa,C_IVA
A/swine/Iowa/A02524794/2020,10/22/2020,Iowa,C_IVA
A/swine/Iowa/A02524773/2020,10/21/2020,Iowa,C_IVA
A/swine/Iowa/A02524699/2020,10/2/2020,Iowa,2010-human_like
A/swine/Indiana/A02245511/2020,2/24/2020,Indiana,C_IVA
A/swine/Indiana/A02479057/2020,2/12/2020,Indiana,C_IVA
A/swine/North_Carolina/A02245394/2020,1/17/2020,North_Carolina,C_IVA
A/swine/Indiana/A02478980/2020,1/6/2020,Indiana,C_IVA
A/swine/Indiana/A02478966/2019,12/27/2019,Indiana,C_IVA
A/swine/Indiana/A02478921/2019,11/26/2019,Indiana,C_IVA
A/swine/Ohio/A02478897/2019,11/19/2019,Ohio,C_IVA
A/swine/Ohio/A02478896/2019,11/19/2019,Ohio,C_IVA
A/swine/Ohio/A02478879/2019,11/14/2019,Ohio,C_IVA
A/swine/Indiana/A02478844/2019,11/4/2019,Indiana,C_IVA
A/swine/Ohio/A02478819/2019,10/29/2019,Ohio,C_IVA
A/swine/Iowa/A02478750/2019,10/9/2019,Iowa,C_IVA
A/swine/Indiana/A02478732/2019,10/8/2019,Indiana,C_IVA
A/swine/Ohio/A02478686/2019,9/17/2019,Ohio,C_IVA
A/swine/Illinois/A02478564/2019,6/21/2019,Illinois,C_IVA
A/swine/Illinois/A02478554/2019,6/10/2019,Illinois,C_IVA
A/swine/Illinois/A02478510/2019,5/22/2019,Illinois,C_IVA
A/swine/Illinois/A02478493/2019,5/14/2019,Illinois,C_IVA
A/swine/Oklahoma/A01785992/2019,2/27/2019,Oklahoma,C_IVA
A/swine/Iowa/A02215031/2017,4/12/2017,Iowa,C_IVA
A/swine/Michigan/A01668934/2016,12/2/2016,Michigan,C_IVB
A/swine/North_Carolina/A01781579/2016,9/20/2016,North_Carolina,C_IVA
A/swine/North_Carolina/A01781224/2016,9/7/2016,North_Carolina,C_IVA
