Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02245704	2020-07-29	NC	H1N1	A/swine/North_Carolina/A02245704/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02479114	2020-03-03	NC	H1N2	A/swine/North_Carolina/A02479114/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02479115	2020-03-06	NC	H1N2	A/swine/North_Carolina/A02479115/2020	gamma	NA	NA	2002B	TTTPPT	TRUE
A02479173	2020-03-25	NC	H1N1	A/swine/North_Carolina/A02479173/2020	gamma2-beta-like	NA	Pandemic	NA	PPPVPP	TRUE
A02479178	2020-03-25	NC	H1N1	A/swine/North_Carolina/A02479178/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524525	2020-08-05	NC	H1N2	A/swine/North_Carolina/A02524525/2020	delta2	NA	NA	1998B	NA	FALSE
A02524538	2020-08-06	NC	H3N2	A/swine/North_Carolina/A02524538/2020	NA	IV-A	NA	2002B	NA	FALSE
A02524540	2020-08-14	NC	H1N2	A/swine/North_Carolina/A02524540/2020	alpha	NA	NA	2002B	TTTPPT	TRUE
A02524576	2020-08-28	NC	H3N2	A/swine/North_Carolina/A02524576/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479175	2020-03-24	OH	H3N2	A/swine/Ohio/A02479175/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524552	2020-08-19	OH	H1N1	A/swine/Ohio/A02524552/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02245577	2020-03-24	OK	H1N2	A/swine/Oklahoma/A02245577/2020	pandemic	NA	NA	TX98	TVVPPT	TRUE
A02479121	2020-03-06	OK	H3N2	A/swine/Oklahoma/A02479121/2020	NA	2010.1	NA	2002A	TTTPPT	TRUE
A02524536	2020-08-04	OK	H1N1	A/swine/Oklahoma/A02524536/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02524564	2020-08-25	OK	H1N2	A/swine/Oklahoma/A02524564/2020	delta1b	NA	NA	2002A	NA	FALSE
A02524568	2020-08-26	OK	H3N2	A/swine/Oklahoma/A02524568/2020	NA	I	NA	TX98	NA	FALSE
A02479128	2020-03-12	PA	H3N2	A/swine/Pennsylvania/A02479128/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524535	2020-08-04	PA	H1N1	A/swine/Pennsylvania/A02524535/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02524546	2020-08-17	PA	H1N1	A/swine/Pennsylvania/A02524546/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02245688	2020-08-14	SC	H1N2	A/swine/South_Carolina/A02245688/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02479180	2020-03-26	UT	H3N2	A/swine/Utah/A02479180/2020	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02479131	2020-03-12	WI	H1N1	A/swine/Wisconsin/A02479131/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A01047020	2010-11-22	IL	H1N2	A/swine/Illinois/A01047020/2010	delta1b	NA	NA	2002A	TTTTTT	TRUE
A01201606	2011-06-01	IL	H3N2	A/swine/Illinois/A01201606/2011	NA	IV-D	NA	2002	TPPPPP	TRUE
A01203922	2012-10-01	IL	H1N1	A/swine/Illinois/A01203922/2012	gamma2	NA	Classical	NA	----P-	FALSE
A01462475	2015-01-07	IL	H3N2	A/swine/Illinois/A01462475/2015	NA	IV-E	NA	2002A	----P-	FALSE
A01493472	2014-03-26	IL	H1N1	A/swine/Illinois/A01493472/2014	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A00968373	2012-07-13	IN	H3N2	A/swine/Indiana/A00968373/2012	NA	IV-A	NA	2002B	TTTTPT	TRUE
A01202866	2011-11-16	IN	H3N2	A/swine/Indiana/A01202866/2011	NA	IV-C	NA	2002	PTPPPT	TRUE
A01729045	2016-01-07	IN	H3N2	A/swine/Indiana/A01729045/2016	NA	IV-B	NA	2002B	PTPPPT	TRUE
A02430356	2019-02-14	IN	H3N2	A/swine/Indiana/A02430356/2019	NA	2010.2	NA	2016	TTTTPT	TRUE
A01202613	2011-09-27	IA	H3N2	A/swine/Iowa/A01202613/2011	NA	IV-D	NA	2002	PPPPPP	TRUE
A01432500	2013-03-01	IA	H3N2	A/swine/Iowa/A01432500/2013	NA	IV-F	NA	1998A	----P-	FALSE
A01476931	2014-11-06	IA	H1N2	A/swine/Iowa/A01476931/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01480656	2014-03-19	IA	H3N2	A/swine/Iowa/A01480656/2014	NA	IV-A	NA	2002B	----P-	FALSE
A01731653	2016-02-13	IA	H1N1	A/swine/Iowa/A01731653/2016	NA	NA	NA	NA	TTPPPT	TRUE
A02025359	2015-07-22	IA	H1N2	A/swine/Iowa/A02025359/2015	alpha	NA	NA	2002A	----P-	FALSE
A01432375	2013-01-03	MI	H3N2	A/swine/Michigan/A01432375/2013	NA	IV-C	NA	2002	PTPPPT	TRUE
A01134353	2011-02-07	MN	H1N2	A/swine/Minnesota/A01134353/2011	delta1a	NA	NA	2002A	TTTTTT	TRUE
A01280592	2013-01-30	MN	H3N2	A/swine/Minnesota/A01280592/2013	NA	IV-B	NA	2002B	----T-	FALSE
A01432544	2013-03-01	MN	H3N2	A/swine/Minnesota/A01432544/2013	NA	IV-B	NA	2002B	----T-	FALSE
A01567490	2014-12-30	MN	H1N1	A/swine/Minnesota/A01567490/2014	gamma	NA	Classical	NA	TTTTPT	TRUE
A01410819	2014-01-15	MO	H3N1	A/swine/Missouri/A01410819/2014	NA	2010.1	Classical	NA	PPPPPP	TRUE
A01444664	2013-01-15	MO	H1N2	A/swine/Missouri/A01444664/2013	delta1b	NA	NA	2002A	TTTTTT	TRUE
A01492366	2014-02-24	NE	H1N2	A/swine/Nebraska/A01492366/2014	delta1a	NA	NA	2002A	----P-	FALSE
A01567651	2015-01-12	NE	H3N2	A/swine/Nebraska/A01567651/2015	NA	IV-A	NA	2002A	----P-	FALSE
A01797415	2015-11-13	NC	H1N1	A/swine/North_Carolina/A01797415/2015	gamma	NA	Classical	NA	TTTPPT	TRUE
A01104092	2016-04-20	OH	H1N1	A/swine/Ohio/A01104092/2016	pandemic	NA	Pandemic	NA	PPPTPP	TRUE
A01847657	2015-04-20	OH	H1N1	A/swine/Ohio/A01847657/2015	gamma	NA	Classical	NA	TTTTPT	TRUE
A01409770	2014-01-01	OK	H1N2	A/swine/Oklahoma/A01409770/2014	delta2	NA	NA	1998B	T-PTPT	FALSE
A01076777	2010-11-03	PA	H3N2	A/swine/Pennsylvania/A01076777/2010	NA	IV-K	NA	2002A	----T-	FALSE
A01349306	2013-03-12	SD	H1N1	A/swine/South_Dakota/A01349306/2013	gamma2	NA	Classical	NA	TTTTTT	TRUE
A01349341	2013-03-13	SD	H1N2	A/swine/South_Dakota/A01349341/2013	delta1b	NA	NA	1998A	TTPPPT	TRUE
A01823237	2015-06-24	SD	H1N2	A/swine/South_Dakota/A01823237/2015	alpha	NA	NA	2002	TTTTPT	TRUE
A01049914	2011-04-28	TX	H3N2	A/swine/Texas/A01049914/2011	NA	NA	NA	NA	TTTPPT	TRUE
A01444562	2013-01-13	WY	H3N2	A/swine/Wyoming/A01444562/2013	NA	IV-A	NA	2002A	----P-	FALSE
A01104142	2020-08-25	CA	H3N2	A/swine/California/A01104142/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479226	2020-04-11	IL	H1N2	A/swine/Illinois/A02479226/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02479361	2020-05-22	IL	H1N2	A/swine/Illinois/A02479361/2020	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02524472	2020-07-01	IL	H1N1	A/swine/Illinois/A02524472/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02524473	2020-06-26	IL	H1N2	A/swine/Illinois/A02524473/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02524485	2020-07-10	IL	H3N2	A/swine/Illinois/A02524485/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524514	2020-07-31	IL	H1N2	A/swine/Illinois/A02524514/2020	alpha	NA	NA	1998B	TTTTPT	TRUE
A01812305	2020-04-24	IN	H3N2	A/swine/Indiana/A01812305/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A01812309	2020-07-16	IN	H1N2	A/swine/Indiana/A01812309/2020	alpha	NA	NA	2002	TTPPPT	TRUE
A01812310	2020-08-17	IN	H1N1	A/swine/Indiana/A01812310/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02479161	2020-03-24	IN	H3N2	A/swine/Indiana/A02479161/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479222	2020-04-13	IN	H3N2	A/swine/Indiana/A02479222/2020	NA	2010.2	NA	2016	TTTTPT	TRUE
A02479308	2020-05-04	IN	H3N2	A/swine/Indiana/A02479308/2020	NA	2010.2	NA	2016	TTTTPT	TRUE
A02479315	2020-05-01	IN	H1N1	A/swine/Indiana/A02479315/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479428	2020-06-04	IN	H3N2	A/swine/Indiana/A02479428/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524433	2020-06-15	IN	H1N2	A/swine/Indiana/A02524433/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02524436	2020-06-16	IN	H1N1	A/swine/Indiana/A02524436/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02524437	2020-06-17	IN	H3N2	A/swine/Indiana/A02524437/2020	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02524438	2020-06-16	IN	H1N1	A/swine/Indiana/A02524438/2020	pandemic	NA	Pandemic	NA	TTTTPT	TRUE
A02524458	2020-06-17	IN	H1N1	A/swine/Indiana/A02524458/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479122	2020-03-10	IA	H1N1	A/swine/Iowa/A02479122/2020	delta2	NA	Classical	NA	NA	FALSE
A02479134	2020-03-17	IA	H1N2	A/swine/Iowa/A02479134/2020	alpha	NA	NA	1998B	NA	FALSE
A02479192	2020-04-01	IA	H1N1	A/swine/Iowa/A02479192/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02479204	2020-04-08	IA	H1N2	A/swine/Iowa/A02479204/2020	delta1a	NA	NA	TX98	TVVTPT	TRUE
A02479207	2020-04-08	IA	H1N2	A/swine/Iowa/A02479207/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479229	2020-04-15	IA	H1N1	A/swine/Iowa/A02479229/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02479231	2020-04-14	IA	H1N2	A/swine/Iowa/A02479231/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479259	2020-04-17	IA	H3N2	A/swine/Iowa/A02479259/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479262	2020-04-17	IA	H1N2	A/swine/Iowa/A02479262/2020	alpha	NA	NA	2002B	TTPTPT	TRUE
A02479279	2020-04-24	IA	H1N2	A/swine/Iowa/A02479279/2020	alpha	NA	NA	2002B	TTPTPT	TRUE
A02479283	2020-04-28	IA	H3N2	A/swine/Iowa/A02479283/2020	NA	IV-I	NA	2002	TTPTPT	TRUE
A02479288	2020-04-30	IA	H1N1	A/swine/Iowa/A02479288/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479301	2020-05-01	IA	H1N1	A/swine/Iowa/A02479301/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479304	2020-05-04	IA	H3N2	A/swine/Iowa/A02479304/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479313	2020-05-06	IA	H3N2	A/swine/Iowa/A02479313/2020	NA	2010.1	NA	2002A	TVVPPT	TRUE
A02479326	2020-05-12	IA	H1N2	A/swine/Iowa/A02479326/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479330	2020-05-07	IA	H1N1	A/swine/Iowa/A02479330/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02479351	2020-05-14	IA	H1N2	A/swine/Iowa/A02479351/2020	alpha	NA	NA	2002B	TTPTPT	TRUE
A02479373	2020-05-27	IA	H1N2	A/swine/Iowa/A02479373/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479374	2020-05-28	IA	H1N2	A/swine/Iowa/A02479374/2020	pandemic	NA	NA	2002A	TTTPPT	TRUE
A02479375	2020-05-27	IA	H1N2	A/swine/Iowa/A02479375/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479427	2020-06-04	IA	H3N2	A/swine/Iowa/A02479427/2020	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02524417	2020-06-11	IA	H1N2	A/swine/Iowa/A02524417/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524419	2020-06-10	IA	H1N2	A/swine/Iowa/A02524419/2020	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02524421	2020-06-08	IA	H1N1	A/swine/Iowa/A02524421/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524423	2020-06-08	IA	H3N2	A/swine/Iowa/A02524423/2020	NA	IV-A	NA	2002B	T-TPPT	FALSE
A02524431	2020-06-12	IA	H1N2	A/swine/Iowa/A02524431/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524435	2020-06-18	IA	H3N2	A/swine/Iowa/A02524435/2020	NA	IV-A	NA	2002B	TTPPPT	TRUE
A02524447	2020-06-26	IA	H3N2	A/swine/Iowa/A02524447/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524469	2020-07-01	IA	H1N2	A/swine/Iowa/A02524469/2020	delta1a	NA	NA	2002A	TTTPPT	TRUE
A02524480	2020-07-06	IA	H1N1	A/swine/Iowa/A02524480/2020	pandemic	NA	Pandemic	NA	TTTPPT	TRUE
A02524493	2020-07-10	IA	H1N2	A/swine/Iowa/A02524493/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524503	2020-07-30	IA	H1N2	A/swine/Iowa/A02524503/2020	alpha	NA	NA	1998B	TTTPPT	TRUE
A02524506	2020-07-28	IA	H1N1	A/swine/Iowa/A02524506/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02524509	2020-07-29	IA	H3N2	A/swine/Iowa/A02524509/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524511	2020-07-30	IA	H1N2	A/swine/Iowa/A02524511/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524574	2020-08-26	IA	H1N2	A/swine/Iowa/A02524574/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524591	2020-08-31	IA	H3N2	A/swine/Iowa/A02524591/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02245675	2020-06-24	KS	H3N2	A/swine/Kansas/A02245675/2020	NA	2010.1	NA	2002A	TTTPPT	TRUE
A02245678	2020-07-02	KS	H1N2	A/swine/Kansas/A02245678/2020	delta1a	NA	NA	1998A	TTTTPT	TRUE
A02245703	2020-08-31	KS	H3N2	A/swine/Kansas/A02245703/2020	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02479299	2020-05-01	MI	H3N2	A/swine/Michigan/A02479299/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524482	2020-07-09	MI	H3N2	A/swine/Michigan/A02524482/2020	NA	2010.1	NA	TX98	TTTTPT	TRUE
A02524496	2020-07-17	MI	H1N2	A/swine/Michigan/A02524496/2020	pandemic	NA	NA	2002B	TTPTPT	TRUE
A02245561	2020-03-25	MN	H1N2	A/swine/Minnesota/A02245561/2020	delta2	NA	NA	2002	NA	FALSE
A02245574	2020-04-01	MN	H1N2	A/swine/Minnesota/A02245574/2020	pandemic	NA	NA	2002B	TTTTPT	TRUE
A02245583	2020-04-07	MN	H3N2	A/swine/Minnesota/A02245583/2020	NA	IV-B	NA	2002B	TTPTPT	TRUE
A02245606	2020-04-29	MN	H1N1	A/swine/Minnesota/A02245606/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02245637	2020-05-06	MN	H1N1	A/swine/Minnesota/A02245637/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02245639	2020-05-06	MN	H1N1	A/swine/Minnesota/A02245639/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245641	2020-05-11	MN	H3N2	A/swine/Minnesota/A02245641/2020	NA	2010.1	NA	2002B	NA	FALSE
A02245649	2020-05-15	MN	H1N1	A/swine/Minnesota/A02245649/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245657	2020-05-21	MN	H3N2	A/swine/Minnesota/A02245657/2020	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02245658	2020-05-20	MN	H1N2	A/swine/Minnesota/A02245658/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02245661	2020-05-27	MN	H3N2	A/swine/Minnesota/A02245661/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02245669	2020-06-10	MN	H1N1	A/swine/Minnesota/A02245669/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02245671	2020-06-12	MN	H3N2	A/swine/Minnesota/A02245671/2020	NA	IV-I	NA	2002	TTPTPT	TRUE
A02245679	2020-07-02	MN	H1N2	A/swine/Minnesota/A02245679/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479265	2020-04-27	MN	H1N1	A/swine/Minnesota/A02479265/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479268	2020-04-23	MN	H3N2	A/swine/Minnesota/A02479268/2020	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02479333	2020-05-11	MN	H1N2	A/swine/Minnesota/A02479333/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479335	2020-05-11	MN	H1N1	A/swine/Minnesota/A02479335/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02524420	2020-06-04	MN	H1N2	A/swine/Minnesota/A02524420/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524457	2020-06-19	MN	H1N2	A/swine/Minnesota/A02524457/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524484	2020-07-09	MN	H3N2	A/swine/Minnesota/A02524484/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479157	2020-03-23	MO	H1N1	A/swine/Missouri/A02479157/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02479195	2020-04-02	MO	H1N1	A/swine/Missouri/A02479195/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479312	2020-05-06	MO	H1N1	A/swine/Missouri/A02479312/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02479372	2020-05-27	MO	H1N2	A/swine/Missouri/A02479372/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524459	2020-06-24	MO	H1N1	A/swine/Missouri/A02524459/2020	gamma	NA	Classical	NA	T-TTPT	FALSE
